Number of Items Purchased, Time Spent (minutes)
----------------------------------------------
1, 10
2, 15
3, 25
4, 30
5, 35
6, 40
7, 42
8, 45
9, 48
10, 50
11, 55
12, 58
13, 60
14, 63
15, 65
16, 68
17, 70
18, 75
19, 80
20, 85
21, 90
22, 92
23, 95
24, 98
25, 100
26, 105
27, 110
28, 115
29, 120
30, 125
31, 130
32, 135
33, 140
34, 145
35, 150
36, 155
37, 160
38, 165
39, 170
40, 175
41, 180
42, 185
43, 190
44, 195
45, 200
46, 205
47, 210
48, 215
49, 220
50, 225
51, 230
52, 235
53, 240
54, 245
55, 250
56, 255
57, 260
58, 265
59, 270
60, 275
61, 280
62, 285
63, 290
64, 295
65, 300
66, 305
67, 310
68, 315
69, 320
70, 325
71, 330
72, 335
73, 340
74, 345
75, 350
76, 355
77, 360
78, 365
79, 370
80, 375
81, 380
82, 385
83, 390
84, 395
85, 400
86, 405
87, 410
88, 415
89, 420
90, 425
91, 430
92, 435
93, 440
94, 445
95, 450
96, 455
97, 460
98, 465
99, 470
100, 475
